url,title,neighborhood,region,bedrooms,bathrooms,size_m2,price,date_published,category,type,listing_id,property_subtype,furnished
https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-westlands-area-3979306,"4 Bed Villa in Westlands Area for KSh 130,000,000 | BuyRentKenya",Westlands Area,Westlands,4.0,4.0,,130000000,2026-04-26 07:19:22+00:00,houses-for-sale/nairobi,sale,3979306,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3979314,"4 Bed Townhouse in Runda for KSh 43,000,000 | BuyRentKenya",Runda,Westlands,4.0,4.0,,43000000,2026-04-26 07:18:33+00:00,houses-for-sale/nairobi,sale,3979314,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitisuru-3979441,"4 Bed Townhouse in Kitisuru for KSh 56,000,000 | BuyRentKenya",Kitisuru,Westlands,4.0,4.0,400.0,56000000,2026-04-26 07:17:33+00:00,houses-for-sale/nairobi,sale,3979441,townhouse,False
https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-brookside-3979567,"3 Bed Townhouse at Grevillea Grove for KSh 48,000,000 | BuyRentKenya",Brookside,Westlands,3.0,4.0,,48000000,2026-04-24 13:35:07+00:00,houses-for-sale/nairobi,sale,3979567,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lower-kabete-3979571,"5 Bed House in Lower Kabete for KSh 110,000,000 | BuyRentKenya",Lower Kabete,Westlands,5.0,5.0,,110000000,2026-04-24 13:33:02+00:00,houses-for-sale/nairobi,sale,3979571,house,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3979565,"5 Bed House in Runda for KSh 130,000,000 | BuyRentKenya",Runda,Westlands,5.0,5.0,,130000000,2026-04-24 13:19:21+00:00,houses-for-sale/nairobi,sale,3979565,house,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3979473,"4 Bed Townhouse in Westlands Area for KSh 107,000,000 | BuyRentKenya",Westlands Area,Westlands,4.0,4.0,,107000000,2026-04-26 07:14:22+00:00,houses-for-sale/nairobi,sale,3979473,townhouse,False
https://www.buyrentkenya.com/listings/furnished-6-bedroom-house-for-sale-karen-3979432,"Serviced 6 Bed House at Marula Road for KSh 150,000,000 | BuyRentKenya",Karen,Karen,6.0,6.0,,150000000,2026-04-24 10:08:11+00:00,houses-for-sale/nairobi,sale,3979432,house,True
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-loresho-3979429,"4 Bed House in Loresho for KSh 120,000,000 | BuyRentKenya",Loresho,Westlands,4.0,4.0,,120000000,2026-04-24 09:59:22+00:00,houses-for-sale/nairobi,sale,3979429,house,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3979427,"5 Bed Townhouse in Lavington for KSh 130,000,000 | BuyRentKenya",Lavington,Lavington,5.0,5.0,,130000000,2026-04-24 09:52:56+00:00,houses-for-sale/nairobi,sale,3979427,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3979385,"Serviced 5 Bed House at Off Langata Road for KSh 150,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,150000000,2026-04-24 09:19:50+00:00,houses-for-sale/nairobi,sale,3979385,house,True
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-nyari-3979121,"5 Bed House at Nyari for KSh 140,000,000 | BuyRentKenya",Nyari,Westlands,5.0,5.0,,140000000,2026-04-24 07:06:10+00:00,houses-for-sale/nairobi,sale,3979121,house,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3978890,"Serviced 5 Bed House at Miotoni for KSh 185,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,185000000,2026-04-24 05:18:59+00:00,houses-for-sale/nairobi,sale,3978890,house,True
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-riverside-3978851,"5 Bed House in Riverside for KSh 330,000,000 | BuyRentKenya",Riverside,Westlands,5.0,,,330000000,2026-04-23 23:18:24+00:00,houses-for-sale/nairobi,sale,3978851,house,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thigiri-3978850,"5 Bed House in Thigiri for KSh 200,000,000 | BuyRentKenya",Thigiri,Westlands,5.0,5.0,,200000000,2026-04-23 22:58:33+00:00,houses-for-sale/nairobi,sale,3978850,house,False
https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-brookside-3969179,"3 Bed Townhouse at Grevillea Grove for KSh 48,000,000 | BuyRentKenya",Brookside,Westlands,3.0,4.0,,48000000,2026-04-18 09:15:50+00:00,houses-for-sale/nairobi,sale,3969179,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3978831,"5 Bed Villa in Lavington for KSh 80,000,000 | BuyRentKenya",Lavington,Lavington,5.0,6.0,600.0,80000000,2026-04-23 20:17:22+00:00,houses-for-sale/nairobi,sale,3978831,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3865235,"5 Bed House at Runda for KSh 235,000,000 | BuyRentKenya",Runda,Westlands,5.0,6.0,,235000000,2026-02-20 07:32:26+00:00,houses-for-sale/nairobi,sale,3865235,house,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-buruburu-3672030,"4 Bed Townhouse at Phase 2 for KSh 10,000,000 | BuyRentKenya",Buruburu,Buruburu,4.0,2.0,,10000000,2026-02-23 11:43:14+00:00,houses-for-sale/nairobi,sale,3672030,townhouse,False
https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-lavington-3691200,"3 Bed Townhouse at Gitanga Road for KSh 22,000,000 | BuyRentKenya",Lavington,Lavington,3.0,2.0,180.0,22000000,2025-01-22 06:34:06+00:00,houses-for-sale/nairobi,sale,3691200,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitisuru-3978785,"4 Bed Townhouse in Kitisuru for KSh 40,900,000 | BuyRentKenya",Kitisuru,Westlands,4.0,5.0,,40900000,2026-04-23 19:08:40+00:00,houses-for-sale/nairobi,sale,3978785,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitisuru-3978795,"5 Bed Townhouse in Kitisuru for KSh 52,900,000 | BuyRentKenya",Kitisuru,Westlands,5.0,6.0,,52900000,2026-04-23 19:27:08+00:00,houses-for-sale/nairobi,sale,3978795,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3978654,"5 Bed Villa at Miotoni for KSh 200,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,200000000,2026-04-23 12:49:41+00:00,houses-for-sale/nairobi,sale,3978654,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-lavington-3978648,"4 Bed Villa in Lavington for KSh 65,000,000 | BuyRentKenya",Lavington,Lavington,4.0,5.0,400.0,65000000,2026-04-23 11:43:19+00:00,houses-for-sale/nairobi,sale,3978648,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-naivasha-road-3978618,"4 Bed Townhouse in Naivasha Road for KSh 28,000,000 | BuyRentKenya",Naivasha Road,Naivasha Road,4.0,3.0,230.0,28000000,2026-04-23 10:37:52+00:00,houses-for-sale/nairobi,sale,3978618,townhouse,False
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-kyuna-3978577,"6 Bed Villa in Kyuna for KSh 100,000,000 | BuyRentKenya",Kyuna,Westlands,6.0,6.0,,100000000,2026-04-23 10:20:30+00:00,houses-for-sale/nairobi,sale,3978577,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3978594,"5 Bed Villa in Karen for KSh 70,000,000 | BuyRentKenya",Karen,Karen,5.0,6.0,,70000000,2026-04-23 10:12:47+00:00,houses-for-sale/nairobi,sale,3978594,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-waiyaki-way-3978589,"4 Bed Villa in Waiyaki Way for KSh 25,000,000 | BuyRentKenya",Waiyaki Way,Westlands,4.0,5.0,240.0,25000000,2026-04-23 10:01:31+00:00,houses-for-sale/nairobi,sale,3978589,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3978587,"Serviced 4 Bed Townhouse at Off Kiambu Road for KSh 48,000,000 | BuyRentKenya",Runda,Westlands,4.0,5.0,,48000000,2026-04-23 10:00:51+00:00,houses-for-sale/nairobi,sale,3978587,townhouse,True
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-7-3433272,"4 Bed House at Kiambu Road for KSh 31,000,000 | BuyRentKenya",Kiambu Road,Kiambu Road,4.0,3.0,300.0,31000000,2026-04-09 08:41:47+00:00,houses-for-sale/nairobi,sale,3433272,house,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3959191,"5 Bed Townhouse in Lavington for KSh 62,000,000 | BuyRentKenya",Lavington,Lavington,5.0,,,62000000,2026-03-26 07:15:54+00:00,houses-for-sale/nairobi,sale,3959191,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nairobi-west-3926584,"4 Bed House in Nairobi West for KSh 40,000,000 | BuyRentKenya",Nairobi West,Nairobi West,4.0,,325.0,40000000,2026-03-17 08:59:05+00:00,houses-for-sale/nairobi,sale,3926584,house,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3921860,"5 Bed Townhouse in Westlands Area for KSh 85,000,000 | BuyRentKenya",Westlands Area,Westlands,5.0,,,85000000,2026-03-11 09:08:59+00:00,houses-for-sale/nairobi,sale,3921860,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-karen-3830288,"5 Bed Villa in Karen for KSh 175,500,000 | BuyRentKenya",Karen,Karen,5.0,7.0,638.0,175500000,2026-04-23 07:52:39+00:00,houses-for-sale/nairobi,sale,3830288,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3978490,"Serviced 5 Bed House at Karen Hub for KSh 205,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,205000000,2026-04-23 08:44:26+00:00,houses-for-sale/nairobi,sale,3978490,house,True
https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3978338,"6 Bed Townhouse in Lavington for KSh 85,000,000 | BuyRentKenya",Lavington,Lavington,6.0,7.0,,85000000,2026-04-23 07:19:37+00:00,houses-for-sale/nairobi,sale,3978338,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3978313,"5 Bed Townhouse in Lavington for KSh 75,000,000 | BuyRentKenya",Lavington,Lavington,5.0,6.0,,75000000,2026-04-23 07:09:42+00:00,houses-for-sale/nairobi,sale,3978313,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3978315,"5 Bed Townhouse in Lavington for KSh 81,000,000 | BuyRentKenya",Lavington,Lavington,5.0,6.0,,81000000,2026-04-23 07:09:40+00:00,houses-for-sale/nairobi,sale,3978315,townhouse,False
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-spring-valley-3978214,"6 Bed Villa in Spring Valley for KSh 150,000,000 | BuyRentKenya",Spring Valley,Westlands,6.0,7.0,,150000000,2026-04-23 06:42:59+00:00,houses-for-sale/nairobi,sale,3978214,villa,False
https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-buruburu-3963804,"3 Bed Townhouse in Buruburu for KSh 10,000,000 | BuyRentKenya",Buruburu,Buruburu,3.0,1.0,,10000000,2026-04-21 11:47:25+00:00,houses-for-sale/nairobi,sale,3963804,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3978084,"4 Bed Townhouse at Five Star Paradise for KSh 42,000,000 | BuyRentKenya",Runda,Westlands,4.0,3.0,,42000000,2026-04-23 05:49:50+00:00,houses-for-sale/nairobi,sale,3978084,townhouse,False
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3978067,"4 Bed Townhouse at Ineza for KSh 42,000,000 | BuyRentKenya",Runda,Westlands,4.0,3.0,,42000000,2026-04-23 05:41:29+00:00,houses-for-sale/nairobi,sale,3978067,townhouse,False
